"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-01","2022","01","01","","-0.3","","-25.3","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","8","","27","","68",""
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-02","2022","01","02","","1.4","","-14.8","","-6.7","","24.7","","0.0","","0.0","","0.2","","0.2","","9","E","25","","73",""
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-03","2022","01","03","","-14.7","","-25.2","","-20.0","","38.0","","0.0","","0.0","","0.6","","0.4","","9","","35","","45",""
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-04","2022","01","04","","-24.4","","-29.0","","-26.7","","44.7","","0.0","","0.0","","2.3","","2.0","","9","","33","","54",""
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-05","2022","01","05","","-24.1","","-28.6","","-26.4","","44.4","","0.0","","0.0","","0.0","T","0.0","T","9","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-06","2022","01","06","","-23.4","","-29.7","","-26.6","","44.6","","0.0","","0.0","","0.0","T","0.0","T","10","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-07","2022","01","07","","-22.3","","-24.2","","-23.3","","41.3","","0.0","","0.0","","0.0","T","0.0","T","10","","36","","36",""
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-08","2022","01","08","","-14.4","","-24.1","","-19.3","","37.3","","0.0","","0.0","","0.0","T","0.0","T","10","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-09","2022","01","09","","3.4","","-24.1","","-10.4","","28.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-10","2022","01","10","","9.1","","-7.1","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","10","","28","","73",""
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-11","2022","01","11","","9.3","","-5.4","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","7","","29","","72",""
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-12","2022","01","12","","9.8","","-0.2","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","5","","29","","51",""
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-13","2022","01","13","","10.1","","-2.0","","4.1","","13.9","","0.0","","0.0","","0.0","T","0.0","T","3","","36","","47",""
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-14","2022","01","14","","8.3","","-1.7","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","2","","30","","63",""
"-114.01","51.12","CALGARY INTL A","3031092","2022-01-15","2022","01","15","","9.7","","-1.3","","4.2","","13.8","","0.0","","0.0","","0.0","","0.0","","3","","30","","63",""
